Date,Open,High,Low,Close,Adj Close,Volume
2019-04-08,52.500000,53.389999,52.360001,53.389999,53.389999,14400900
2019-04-09,53.180000,53.299999,52.299999,52.349998,52.349998,14745400
2019-04-10,52.740002,52.740002,51.520000,51.759998,51.759998,15608000
2019-04-11,51.500000,51.860001,50.930000,51.790001,51.790001,10274300
2019-04-12,52.090000,52.720001,51.310001,51.480000,51.480000,16905900
2019-04-15,51.590000,51.720001,50.779999,51.330002,51.330002,15787300
2019-04-16,51.270000,53.160000,50.840000,53.099998,53.099998,18935600
2019-04-17,53.160000,53.799999,51.700001,52.250000,52.250000,26483700
2019-04-18,52.200001,52.970001,52.009998,52.580002,52.580002,10706000
2019-04-22,51.950001,52.000000,50.799999,51.299999,51.299999,16324700
2019-04-23,51.590000,51.919998,51.279999,51.919998,51.919998,9890800
2019-04-24,51.549999,51.740002,50.160000,50.360001,50.360001,19992800
2019-04-25,50.230000,50.430000,49.380001,50.330002,50.330002,15916200
2019-04-26,50.480000,50.650002,49.520000,50.419998,50.419998,10632700
2019-04-29,50.939999,51.060001,50.119999,50.250000,50.250000,8729200
2019-04-30,50.220001,50.689999,49.759998,50.099998,50.099998,11371400
2019-05-02,49.279999,49.279999,48.720001,48.939999,48.939999,15906200
2019-05-03,49.450001,50.630001,49.389999,50.400002,50.400002,10614000
2019-05-06,49.599998,49.750000,49.090000,49.660000,49.660000,10437300
2019-05-07,49.349998,49.700001,48.720001,49.700001,49.700001,15190600
2019-05-08,49.820000,50.139999,48.939999,49.000000,49.000000,18474900
2019-05-09,49.000000,49.009998,48.049999,48.540001,48.540001,12456600
2019-05-10,48.299999,49.799999,48.060001,49.459999,49.459999,25272300
2019-05-13,48.529999,48.750000,47.430000,47.430000,47.430000,18657700
2019-05-14,48.180000,48.349998,47.349998,47.590000,47.590000,14183900
2019-05-15,47.150002,48.450001,47.020000,47.950001,47.950001,18447400
2019-05-16,48.549999,48.930000,45.820000,46.400002,46.400002,49247900
2019-05-17,46.400002,47.720001,46.299999,47.720001,47.720001,34079700
2019-05-20,47.619999,47.740002,46.630001,46.750000,46.750000,23819100
2019-05-21,47.099998,47.959999,46.090000,47.459999,47.459999,30644000
